# English — 1990s to today. Format: Artist | Title | Year

# --- 90s ---
Travie McCoy | Billionaire | 2010
B.o.B | Nothin' on You | 2009
B.o.B | Airplanes | 2010
Mark Ronson | Uptown Funk | 2014
Carly Rae Jepsen | Call Me Maybe | 2011
Carly Rae Jepsen | I Really Like You | 2015
Owl City | Fireflies | 2009
Owl City & Carly Rae Jepsen | Good Time | 2012
Pharrell Williams | Happy | 2013
Robin Thicke | Blurred Lines | 2013
Avicii | Wake Me Up | 2013
Avicii | Levels | 2011
Avicii | Hey Brother | 2013
Avicii | The Nights | 2014
Avicii | Waiting for Love | 2015
Avicii | Without You | 2017
Avicii | Addicted to You | 2013
Swedish House Mafia | Don't You Worry Child | 2012
David Guetta | Titanium | 2011
David Guetta | When Love Takes Over | 2009
David Guetta | Without You | 2011
David Guetta | Memories | 2009
David Guetta | Sexy Bitch | 2009
David Guetta | Play Hard | 2012
David Guetta | Hey Mama | 2015
David Guetta | I'm Good (Blue) | 2022
David Guetta & Sia | She Wolf (Falling to Pieces) | 2012
Calvin Harris | Summer | 2014
Calvin Harris | Feel So Close | 2011
Calvin Harris | Outside | 2014
Calvin Harris | How Deep Is Your Love | 2015
Calvin Harris | One Kiss | 2018
Calvin Harris | Feels | 2017
Calvin Harris | Slide | 2017
Calvin Harris & Ellie Goulding | I Need Your Love | 2013
Ellie Goulding | Love Me like You Do | 2015
Ellie Goulding | Burn | 2013
Ellie Goulding | Lights | 2011
Ellie Goulding | Your Song | 2010
Zedd | Clarity | 2012
Zedd | The Middle | 2018
Zedd | Stay the Night | 2013
Clean Bandit | Rather Be | 2014
Clean Bandit | Symphony | 2017
Clean Bandit | Rockabye | 2016
Rudimental | Feel the Love | 2012
Disclosure | Latch | 2012
Duke Dumont | Ocean Drive | 2015
Kygo | Firestone | 2014
Kygo | Stole the Show | 2015
Kygo & Selena Gomez | It Ain't Me | 2017
Kygo & Whitney Houston | Higher Love | 2019
Major Lazer | Lean On | 2015
Major Lazer | Cold Water | 2016
DJ Snake | Let Me Love You | 2016
DJ Snake | Taki Taki | 2018
The Chainsmokers | Closer | 2016
The Chainsmokers | Don't Let Me Down | 2016
The Chainsmokers | Paris | 2017
The Chainsmokers | Roses | 2015
The Chainsmokers | #SELFIE | 2014
The Chainsmokers & Coldplay | Something Just Like This | 2017
Marshmello | Happier | 2018
Marshmello | Alone | 2016
Marshmello & Anne-Marie | Friends | 2018
Alan Walker | Faded | 2015
Alan Walker | Alone | 2016
Alan Walker | On My Way | 2019
Martin Garrix | Scared to Be Lonely | 2017
Martin Garrix | In the Name of Love | 2016
Lost Frequencies | Are You with Me | 2014
Robin Schulz | Sugar | 2015
Robin Schulz | Prayer in C | 2014
Felix Jaehn | Ain't Nobody (Loves Me Better) | 2015
Mr. Probz | Waves | 2013
Kungs | This Girl | 2016
Imany | Don't Be So Shy | 2015
OMI | Cheerleader | 2014
Lukas Graham | 7 Years | 2015
Mike Posner | I Took a Pill in Ibiza | 2015
Miley Cyrus | Wrecking Ball | 2013
Miley Cyrus | Party in the U.S.A. | 2009
Miley Cyrus | Flowers | 2023
Miley Cyrus | The Climb | 2009
Miley Cyrus | We Can't Stop | 2013
Miley Cyrus | Malibu | 2017
Miley Cyrus | Midnight Sky | 2020
Hannah Montana | The Best of Both Worlds | 2006
Hannah Montana | Nobody's Perfect | 2007
Hannah Montana | He Could Be the One | 2009
Taylor Swift | Shake It Off | 2014
Taylor Swift | Love Story | 2008
Taylor Swift | You Belong With Me | 2008
Taylor Swift | Blank Space | 2014
Taylor Swift | Bad Blood | 2014
Taylor Swift | Style | 2014
Taylor Swift | We Are Never Ever Getting Back Together | 2012
Taylor Swift | I Knew You Were Trouble | 2012
Taylor Swift | 22 | 2012
Taylor Swift | Look What You Made Me Do | 2017
Taylor Swift | Delicate | 2017
Taylor Swift | ME! | 2019
Taylor Swift | You Need to Calm Down | 2019
Taylor Swift | Lover | 2019
Taylor Swift | Cruel Summer | 2019
Taylor Swift | cardigan | 2020
Taylor Swift | willow | 2020
Taylor Swift | All Too Well | 2012
Taylor Swift | Anti-Hero | 2022
Taylor Swift | Karma | 2022
Taylor Swift | Enchanted | 2010
Taylor Swift | Mine | 2010
Taylor Swift | Our Song | 2006
Taylor Swift | Teardrops on My Guitar | 2006
Taylor Swift | Wildest Dreams | 2014
Taylor Swift | Fortnight | 2024
Taylor Swift | The Fate of Ophelia | 2025
Justin Bieber | Sorry | 2015
Justin Bieber | Baby | 2010
Justin Bieber | Love Yourself | 2015
Justin Bieber | What Do You Mean? | 2015
Justin Bieber | Peaches | 2021
Justin Bieber | Ghost | 2021
Justin Bieber | Yummy | 2020
Justin Bieber | Boyfriend | 2012
Justin Bieber | One Time | 2009
Justin Bieber | As Long as You Love Me | 2012
Justin Bieber | Beauty and a Beat | 2012
Justin Bieber | Never Say Never | 2010
Justin Bieber | Intentions | 2020
Justin Bieber & Ed Sheeran | I Don't Care | 2019
The Kid LAROI & Justin Bieber | Stay | 2021
Ed Sheeran | Shape of You | 2017
Ed Sheeran | Perfect | 2017
Ed Sheeran | Thinking Out Loud | 2014
Ed Sheeran | Photograph | 2014
Ed Sheeran | Castle on the Hill | 2017
Ed Sheeran | Galway Girl | 2017
Ed Sheeran | Bad Habits | 2021
Ed Sheeran | Shivers | 2021
Ed Sheeran | The A Team | 2011
Ed Sheeran | Lego House | 2011
Ed Sheeran | Sing | 2014
Ed Sheeran | Don't | 2014
Ed Sheeran | Happier | 2017
Ed Sheeran | Afterglow | 2020
Ed Sheeran | Eyes Closed | 2023
Ed Sheeran | Azizam | 2025
Sia | Chandelier | 2014
Sia | Cheap Thrills | 2016
Sia | Elastic Heart | 2015
Sia | Titanium | 2011
Sia | Unstoppable | 2016
Sia | Snowman | 2017
Sam Smith | Stay With Me | 2014
Sam Smith | Too Good at Goodbyes | 2017
Sam Smith | I'm Not the Only One | 2014
Sam Smith | Writing's on the Wall | 2015
Sam Smith & Kim Petras | Unholy | 2022
Sam Smith & Normani | Dancing with a Stranger | 2019
Hozier | Take Me to Church | 2013
Hozier | Too Sweet | 2024
OneRepublic | Counting Stars | 2013
OneRepublic | Apologize | 2006
OneRepublic | Good Life | 2010
OneRepublic | Secrets | 2009
OneRepublic | I Ain't Worried | 2022
Imagine Dragons | Believer | 2017
Imagine Dragons | Radioactive | 2012
Imagine Dragons | Demons | 2012
Imagine Dragons | Thunder | 2017
Imagine Dragons | Whatever It Takes | 2017
Imagine Dragons | It's Time | 2012
Imagine Dragons | On Top of the World | 2013
Imagine Dragons | Bones | 2022
Imagine Dragons | Enemy | 2021
Imagine Dragons | Natural | 2018
Imagine Dragons | Bad Liar | 2018
Maroon 5 | Sugar | 2015
Maroon 5 | Moves like Jagger | 2011
Maroon 5 | She Will Be Loved | 2004
Maroon 5 | This Love | 2004
Maroon 5 | Payphone | 2012
Maroon 5 | One More Night | 2012
Maroon 5 | Maps | 2014
Maroon 5 | Animals | 2014
Maroon 5 | Girls Like You | 2018
Maroon 5 | Memories | 2019
Maroon 5 | Misery | 2010
Maroon 5 | Makes Me Wonder | 2007
Maroon 5 | Sunday Morning | 2004
Maroon 5 | Daylight | 2012
Maroon 5 | Don't Wanna Know | 2016
Maroon 5 | Cold | 2017
Maroon 5 | What Lovers Do | 2017
Maroon 5 | Won't Go Home Without You | 2007
Lewis Capaldi | Someone You Loved | 2018
Lewis Capaldi | Before You Go | 2019
Lewis Capaldi | Bruises | 2017
Lewis Capaldi | Forget Me | 2022
Billie Eilish | bad guy | 2019
Billie Eilish | lovely | 2018
Billie Eilish | when the party's over | 2018
Billie Eilish | Happier Than Ever | 2021
Billie Eilish | What Was I Made For? | 2023
Billie Eilish | BIRDS OF A FEATHER | 2024
Billie Eilish | ocean eyes | 2016
Billie Eilish | everything i wanted | 2019
Billie Eilish | No Time to Die | 2020
Billie Eilish | LUNCH | 2024
Billie Eilish | WILDFLOWER | 2024
The Weeknd | Blinding Lights | 2019
The Weeknd | Starboy | 2016
The Weeknd | Save Your Tears | 2020
The Weeknd | Can't Feel My Face | 2015
The Weeknd | The Hills | 2015
The Weeknd | Die for You | 2016
The Weeknd | I Feel It Coming | 2016
The Weeknd | Earned It | 2014
The Weeknd | In Your Eyes | 2020
The Weeknd | Call Out My Name | 2018
Tones And I | Dance Monkey | 2019
Dua Lipa | Levitating | 2020
Dua Lipa | Don't Start Now | 2019
Dua Lipa | New Rules | 2017
Dua Lipa | IDGAF | 2017
Dua Lipa | Physical | 2020
Dua Lipa | Break My Heart | 2020
Dua Lipa | Houdini | 2023
Dua Lipa | Dance the Night | 2023
Dua Lipa | Training Season | 2024
Dua Lipa | One Kiss | 2018
Dua Lipa & Elton John | Cold Heart (PNAU Remix) | 2021
Olivia Rodrigo | drivers license | 2021
Olivia Rodrigo | good 4 u | 2021
Olivia Rodrigo | deja vu | 2021
Olivia Rodrigo | traitor | 2021
Olivia Rodrigo | vampire | 2023
Olivia Rodrigo | happier | 2021
Olivia Rodrigo | get him back! | 2023
Olivia Rodrigo | bad idea right? | 2023
Glass Animals | Heat Waves | 2020
Harry Styles | As It Was | 2022
Harry Styles | Watermelon Sugar | 2019
Harry Styles | Sign of the Times | 2017
Harry Styles | Adore You | 2019
Harry Styles | Late Night Talking | 2022
Harry Styles | Falling | 2019
One Direction | What Makes You Beautiful | 2011
One Direction | Story of My Life | 2013
One Direction | Best Song Ever | 2013
One Direction | Little Things | 2012
One Direction | Drag Me Down | 2015
One Direction | Night Changes | 2014
One Direction | Live While We're Young | 2012
One Direction | One Thing | 2012
One Direction | Steal My Girl | 2014
One Direction | Kiss You | 2012
Zayn | Pillowtalk | 2016
Niall Horan | Slow Hands | 2017
Louis Tomlinson | Back to You | 2017
Little Mix | Shout Out to My Ex | 2016
Little Mix | Black Magic | 2015
Little Mix | Wings | 2012
Little Mix | Touch | 2016
Fifth Harmony | Work from Home | 2016
Fifth Harmony | Worth It | 2015
Camila Cabello | Havana | 2017
Camila Cabello | Never Be the Same | 2017
Shawn Mendes | Stitches | 2015
Shawn Mendes | Treat You Better | 2016
Shawn Mendes | There's Nothing Holdin' Me Back | 2017
Shawn Mendes | In My Blood | 2018
Shawn Mendes & Camila Cabello | Señorita | 2019
Shawn Mendes | Mercy | 2016
Charlie Puth | Attention | 2017
Charlie Puth | We Don't Talk Anymore | 2016
Charlie Puth | One Call Away | 2015
Charlie Puth | Light Switch | 2022
Wiz Khalifa | See You Again | 2015
Meghan Trainor | All About That Bass | 2014
Meghan Trainor | Lips Are Movin | 2014
Meghan Trainor | Dear Future Husband | 2015
Meghan Trainor | Me Too | 2016
Meghan Trainor | Made You Look | 2022
Meghan Trainor | No | 2016
Ariana Grande | thank u, next | 2018
Ariana Grande | 7 rings | 2019
Ariana Grande | Problem | 2014
Ariana Grande | Break Free | 2014
Ariana Grande | Into You | 2016
Ariana Grande | Side to Side | 2016
Ariana Grande | Dangerous Woman | 2016
Ariana Grande | positions | 2020
Ariana Grande | we can't be friends (wait for your love) | 2024
Ariana Grande | yes, and? | 2023
Ariana Grande | God Is a Woman | 2018
Ariana Grande | No Tears Left to Cry | 2018
Ariana Grande | Bang Bang | 2014
Ariana Grande | One Last Time | 2014
Jessie J | Price Tag | 2011
Jessie J | Domino | 2011
Jessie J | Flashlight | 2015
Demi Lovato | Sorry Not Sorry | 2017
Demi Lovato | Heart Attack | 2013
Demi Lovato | Skyscraper | 2011
Demi Lovato | Cool for the Summer | 2015
Demi Lovato | Let It Go | 2013
Idina Menzel | Let It Go | 2013
Selena Gomez | Lose You to Love Me | 2019
Selena Gomez | Come & Get It | 2013
Selena Gomez | Good for You | 2015
Selena Gomez | Hands to Myself | 2015
Selena Gomez & the Scene | Love You Like a Love Song | 2011
Selena Gomez & the Scene | Naturally | 2009
Nicki Minaj | Super Bass | 2011
Nicki Minaj | Starships | 2012
Nicki Minaj | Anaconda | 2014
Nicki Minaj | Pound the Alarm | 2012
Iggy Azalea | Fancy | 2014
Flo Rida | Low | 2007
Flo Rida | Right Round | 2009
Flo Rida | Club Can't Handle Me | 2010
Flo Rida | Wild Ones | 2011
Flo Rida | Whistle | 2012
Flo Rida | My House | 2015
Pitbull | Give Me Everything | 2011
Pitbull | Timber | 2013
Pitbull | I Know You Want Me (Calle Ocho) | 2009
Pitbull | Hotel Room Service | 2009
Pitbull | Rain Over Me | 2011
Pitbull | Feel This Moment | 2013
Pitbull | Fireball | 2014
Pitbull | Don't Stop the Party | 2012
Pitbull | International Love | 2011
LMFAO | Party Rock Anthem | 2011
LMFAO | Sexy and I Know It | 2011
Far East Movement | Like a G6 | 2010
Kesha | TiK ToK | 2009
Kesha | Die Young | 2012
Kesha | Your Love Is My Drug | 2010
Kesha | Blow | 2011
Kesha | We R Who We R | 2010
Taio Cruz | Dynamite | 2010
Taio Cruz | Break Your Heart | 2009
Jason Derulo | Talk Dirty | 2013
Jason Derulo | Want to Want Me | 2015
Jason Derulo | Whatcha Say | 2009
Jason Derulo | In My Head | 2009
Jason Derulo | Ridin' Solo | 2010
Jason Derulo | Savage Love (Laxed - Siren Beat) | 2020
Enrique Iglesias | I Like It | 2010
Enrique Iglesias | Tonight (I'm Lovin' You) | 2010
The Wanted | Glad You Came | 2011
Olly Murs | Troublemaker | 2012
Olly Murs | Dance with Me Tonight | 2011
James Arthur | Say You Won't Let Go | 2016
James Arthur | Impossible | 2012
George Ezra | Budapest | 2013
George Ezra | Shotgun | 2018
George Ezra | Paradise | 2018
Rag'n'Bone Man | Human | 2016
Tom Odell | Another Love | 2012
Vance Joy | Riptide | 2013
Bastille | Pompeii | 2013
Bastille | Happier | 2018
X Ambassadors | Renegades | 2015
American Authors | Best Day of My Life | 2013
Walk the Moon | Shut Up and Dance | 2014
Portugal. The Man | Feel It Still | 2017
Twenty One Pilots | Stressed Out | 2015
Twenty One Pilots | Heathens | 2016
Twenty One Pilots | Ride | 2015
Twenty One Pilots | Chlorine | 2018
The Neighbourhood | Sweater Weather | 2013
Cage the Elephant | Ain't No Rest for the Wicked | 2008
The Black Keys | Lonely Boy | 2011
Lorde | Royals | 2013
Lorde | Team | 2013
Lorde | Green Light | 2017
Lana Del Rey | Summertime Sadness | 2012
Lana Del Rey | Young and Beautiful | 2013
Lana Del Rey | Video Games | 2011
Lana Del Rey | Born to Die | 2011
Halsey | Without Me | 2018
Halsey | Bad at Love | 2017
Alessia Cara | Scars to Your Beautiful | 2016
Alessia Cara | Here | 2015
Zara Larsson | Lush Life | 2015
Zara Larsson | Never Forget You | 2015
Zara Larsson | Symphony | 2017
Rita Ora | Anywhere | 2017
Rita Ora | Your Song | 2017
Anne-Marie | 2002 | 2018
Anne-Marie | Ciao Adios | 2017
Anne-Marie | Rockabye | 2016
Ava Max | Sweet but Psycho | 2018
Ava Max | Kings & Queens | 2020
Bebe Rexha | Meant to Be | 2017
Bebe Rexha | I'm a Mess | 2018
Jonas Brothers | Sucker | 2019
Jonas Brothers | Burnin' Up | 2008
Jonas Brothers | Year 3000 | 2006
Jonas Brothers | Only Human | 2019
Nick Jonas | Jealous | 2014
DNCE | Cake by the Ocean | 2015
Troye Sivan | Youth | 2015
Troye Sivan | Rush | 2023
Sabrina Carpenter | Espresso | 2024
Sabrina Carpenter | Please Please Please | 2024
Sabrina Carpenter | Taste | 2024
Sabrina Carpenter | Feather | 2023
Sabrina Carpenter | Nonsense | 2022
Sabrina Carpenter | Manchild | 2025
Chappell Roan | Good Luck, Babe! | 2024
Chappell Roan | HOT TO GO! | 2023
Chappell Roan | Pink Pony Club | 2020
Chappell Roan | Femininomenon | 2023
Benson Boone | Beautiful Things | 2024
Benson Boone | Slow It Down | 2024
Benson Boone | In the Stars | 2022
Teddy Swims | Lose Control | 2023
Tommy Richman | MILLION DOLLAR BABY | 2024
Hozier | Work Song | 2014
Noah Kahan | Stick Season | 2022
Zach Bryan | I Remember Everything | 2023
Morgan Wallen | Last Night | 2023
Luke Combs | Fast Car | 2023
Shaboozey | A Bar Song (Tipsy) | 2024
Post Malone | Circles | 2019
Post Malone | rockstar | 2017
Post Malone | Congratulations | 2016
Post Malone | Better Now | 2018
Post Malone | Psycho | 2018
Post Malone | White Iverson | 2015
Post Malone | I Had Some Help | 2024
Post Malone | Wow. | 2018
Post Malone & Swae Lee | Sunflower (Spider-Man: Into the Spider-Verse) | 2018
Drake | Hotline Bling | 2015
Drake | One Dance | 2016
Drake | God's Plan | 2018
Drake | In My Feelings | 2018
Drake | Passionfruit | 2017
Drake | Hold On, We're Going Home | 2013
Drake | Started from the Bottom | 2013
Drake | Nice for What | 2018
Kendrick Lamar | HUMBLE. | 2017
Kendrick Lamar | Not Like Us | 2024
Kendrick Lamar & SZA | luther | 2024
Kendrick Lamar & SZA | All the Stars | 2018
SZA | Kill Bill | 2022
SZA | Snooze | 2022
SZA | Good Days | 2020
SZA | Saturn | 2024
Doja Cat | Say So | 2019
Doja Cat | Kiss Me More | 2021
Doja Cat | Woman | 2021
Doja Cat | Paint the Town Red | 2023
Doja Cat | Need to Know | 2021
Lizzo | Truth Hurts | 2017
Lizzo | Good as Hell | 2016
Lizzo | About Damn Time | 2022
Lizzo | Juice | 2019
Cardi B | I Like It | 2018
Cardi B | Bodak Yellow | 2017
Megan Thee Stallion | Savage | 2020
Lil Nas X | Old Town Road | 2019
Lil Nas X | MONTERO (Call Me by Your Name) | 2021
Lil Nas X | INDUSTRY BABY | 2021
Lil Nas X | Panini | 2019
Travis Scott | SICKO MODE | 2018
Travis Scott | goosebumps | 2016
Juice WRLD | Lucid Dreams | 2018
Juice WRLD | Robbery | 2019
XXXTENTACION | SAD! | 2018
XXXTENTACION | Jocelyn Flores | 2017
Khalid | Location | 2016
Khalid | Young Dumb & Broke | 2017
Khalid | Talk | 2019
Khalid & Normani | Love Lies | 2018
Normani | Motivation | 2019
Jack Harlow | First Class | 2022
Macklemore & Ryan Lewis | Thrift Shop | 2012
Macklemore & Ryan Lewis | Can't Hold Us | 2011
Macklemore & Ryan Lewis | Same Love | 2012
Macklemore & Ryan Lewis | Downtown | 2015
Mac Miller | Self Care | 2018
Logic | 1-800-273-8255 | 2017
Bazzi | Mine | 2017
Hailee Steinfeld | Starving | 2016
Hailee Steinfeld | Love Myself | 2015
Tove Lo | Habits (Stay High) | 2013
MØ | Final Song | 2016
Years & Years | King | 2015
Jess Glynne | Hold My Hand | 2015
Jess Glynne | I'll Be There | 2018
Rudimental & Jess Glynne | These Days | 2018
Dean Lewis | Be Alright | 2018
Calum Scott | You Are the Reason | 2017
Calum Scott | Dancing on My Own | 2016
Christina Perri | A Thousand Years | 2011
Christina Perri | Jar of Hearts | 2010
Colbie Caillat | Bubbly | 2007
Colbie Caillat | Try | 2014
Sara Bareilles | Love Song | 2007
Sara Bareilles | Brave | 2013
Rachel Platten | Fight Song | 2015
Kelly Clarkson | Catch My Breath | 2012
Jeff Buckley | Hallelujah | 1994
Rihanna | FourFiveSeconds | 2015
Kanye West | All of the Lights | 2010
The Weeknd | Timeless | 2024
Stephen Sanchez | Until I Found You | 2021
Tate McRae | greedy | 2023
Tate McRae | you broke me first | 2020
Tate McRae | Sports car | 2025
Gracie Abrams | That's So True | 2024
Alex Warren | Ordinary | 2025
Alex Warren | Carry You Home | 2024
The Marías | No One Noticed | 2024
Ed Sheeran | Sapphire | 2025
Myles Smith | Stargazing | 2024
Djo | End of Beginning | 2022
Hozier | Would That I | 2019
Jax | Victoria's Secret | 2022
Lewis Capaldi | Wish You The Best | 2023
Raye | Escapism. | 2022
Mae Stephens | If We Ever Broke Up | 2023
Coi Leray | Players | 2022
Steve Lacy | Bad Habit | 2022
Harry Styles | Matilda | 2022
Mitski | My Love Mine All Mine | 2023
Beabadoobee | Glue Song | 2023
Lord Huron | The Night We Met | 2015
Arctic Monkeys | Fluorescent Adolescent | 2007
Cigarettes After Sex | Apocalypse | 2017
Jeremy Zucker | comethru | 2018
Joji | Glimpse of Us | 2022
Conan Gray | Heather | 2020
Conan Gray | Maniac | 2019
Rex Orange County | Loving Is Easy | 2017
Ruth B. | Lost Boy | 2015
Grace VanderWaal | I Don't Know My Name | 2016
Grover Washington Jr. & Bill Withers | Just the Two of Us | 1980
Andy Williams | Can't Take My Eyes Off You | 1967
Boney M. | Mary's Boy Child / Oh My Lord | 1978
Brenda Lee | Rockin' Around the Christmas Tree | 1958
Bobby Helms | Jingle Bell Rock | 1957
Band Aid 20 | Do They Know It's Christmas? | 2004
Shakin' Stevens | Merry Christmas Everyone | 1985
Chris Rea | Driving Home for Christmas | 1986
José Feliciano | Feliz Navidad | 1970
The Pogues | Fairytale of New York | 1987
Slade | Merry Xmas Everybody | 1973
Wizzard | I Wish It Could Be Christmas Everyday | 1973
Ariana Grande | Santa Tell Me | 2014
Michael Bublé | Holly Jolly Christmas | 2011
Justin Bieber | Mistletoe | 2011
Kelly Clarkson | Underneath the Tree | 2013
Lin-Manuel Miranda | We Don't Talk About Bruno | 2021
Dwayne Johnson | You're Welcome | 2016
Auliʻi Cravalho | How Far I'll Go | 2016
Idina Menzel & AURORA | Into the Unknown | 2019
Kristen Bell, Idina Menzel | For the First Time in Forever | 2013
Hugh Jackman | The Greatest Show | 2017
Keala Settle | This Is Me | 2017
Zac Efron & Zendaya | Rewrite the Stars | 2017
Zac Efron & Vanessa Hudgens | Breaking Free | 2006
High School Musical Cast | We're All in This Together | 2006
Peabo Bryson & Regina Belle | A Whole New World | 1992
Phil Collins | Two Worlds | 1999
Randy Newman | You've Got a Friend in Me | 1995
Elton John | Circle of Life | 1994
Vanessa Williams | Colors of the Wind | 1995
Ray Parker Jr. | Ghostbusters | 1984
HUNTR/X | Golden | 2025
Saja Boys | Soda Pop | 2025
HUNTR/X | How It's Done | 2025
